Analysis Variable Name,Original Variable Name,Variable Type,Format Name,Label,Full Question Text/Census Codebook Label,In 2017 dataset,In 2019 dataset,In 2021 dataset,Notes
supwgt,pwnrwgt,Numeric,,Nonresponse supplement weight,Nonresponse supplement weight,Yes,Yes,Yes,Use with supplement variables pes1-pes18 and peswp2
ssupwgt,pwsrwgt,Numeric,,Self-response supplement weight,Self-response supplement weight,No,No,Yes,Use with supplement variables only asked of self-respondents (peswp1a-d)
workpride,peswp1a,Categorical,agree,I am proud to be working for my employer,"Now I'm going to read you a list of statements that might or might not describe your main job. Please tell me whether you [strongly agree, agree, disagree, or strongly disagree] with each of these statements. I am proud to be working for my employer.",No,No,Yes,
yesworkpride,peswp1a,Binary,dummy,Proud to be working for employer [peswp1a>=agree],,No,No,Yes,
workcont,peswp1b,Categorical,agree,My workplace contributes to the community,"Now I'm going to read you a list of statements that might or might not describe your main job. Please tell me whether you [strongly agree, agree, disagree, or strongly disagree] with each of these statements. My workplace contributes to the community.",No,No,Yes,
yesworkcont,peswp1b,Binary,dummy,Workplace contributes to the community [peswp1b>=agree],,No,No,Yes,
worksat,peswp1c,Categorical,agree,My main satisfaction in life comes from work,"Now I'm going to read you a list of statements that might or might not describe your main job. Please tell me whether you [strongly agree, agree, disagree, or strongly disagree] with each of these statements. My main satisfaction in life comes from work.",No,No,Yes,
yesworksat,peswp1c,Binary,dummy,Main satisfaction in life comes from work [peswp1c>=agree],,No,No,Yes,
workicont,peswp1d,Categorical,agree,I contribute to the community through my work,"Now I'm going to read you a list of statements that might or might not describe your main job. Please tell me whether you [strongly agree, agree, disagree, or strongly disagree] with each of these statements. I contribute to the community through my workplace.",No,No,Yes,
yesworkicont,peswp1d,Binary,dummy,Contributes to the community through work [peswp1d>=agree],,No,No,Yes,
workvol,peswp2,Binary,dummy,Workplace has asked employees to volunteer or donate,"In the past 12 months, has your workplace or employer asked or encouraged employees to volunteer or contribute to a specific cause, for example by participating in an employer-sponsored volunteering day, providing pro bono services, or donating to a charity?",No,No,Yes,
fftalk,pes1,Categorical,freq,Freq of talking with friends or family,"In the past 12 months, that is from September 2020 until today, how often did [you/[NAME]] talk to or spend time with friends and family?",Yes,Yes,Yes,
yesfftalk,pes1,Binary,dummy,Talked with friends or family [pes1!=Not at all],,Yes,Yes,Yes,
weeklyfftalk,pes1,Binary,dummy,Talked with friends or family weekly [pes1>=A few times a week],,Yes,Yes,Yes,
ffissues,pes2,Categorical,freq,Freq of discussing issues with friends or family,"[In the past 12 months,] how often did [you/[NAME] discuss political, societal, or local issues with friends or family?",Yes,Yes,Yes,
yesffissues,pes2,Binary,dummy,Discussed issues with friends or family [pes2!=Not at all],,Yes,Yes,Yes,
weeklyffissues,pes2,Binary,dummy,Discussed issues with friends or family weekly [pes2>=A few times a week],,Yes,Yes,Yes,
help,pes3,Categorical,freq,Freq of helping friends or extended family,"[In the past 12 months,] how often did [you/NAME] provide food, housing, money or help for friends or extended family? Do not include anything [you do/[NAME] does] for [your/his/her] children, parents, and spouses, partners, or significant others even if they do not live with [you/him/her].",Yes,No,No,
ntalk,pes4,Categorical,freq,Freq of talking with neighbors,"In the past 12 months, how often did [you/[NAME]] have a conversation or spend time with [your/his/her] neighbors?",Yes,Yes,Yes,
yesntalk,pes4,Binary,dummy,Talked with neighbors [pes4!=Not at all],,Yes,Yes,Yes,
weeklyntalk,pes4,Binary,dummy,Talked with neighbors weekly [pes4>=A few times a week],,Yes,Yes,Yes,
nissues,pes5,Categorical,freq,Freq of discussing issues with neighbors,"[In the past 12 months,] how often did [you/[NAME]] discuss political, societal, or local issues with [your/his/her] neighbors?",Yes,Yes,Yes,
yesnissues,pes5,Binary,dummy,Discussed issues with neighbors [pes5!=Not at all],,Yes,Yes,Yes,
favors,pes6,Categorical,freq,Freq of exchanging favors with neighbors,"[In the past 12 months,] how often did [you/[NAME]] and [your/his/her] neighbors do favors for each other such as house sitting, watching each other’s children, lending tools, and other things to help each other?",Yes,Yes,Yes,
yesfavors,pes6,Binary,dummy,Exchanged favors with neighbors [pes6!=Not at all],,Yes,Yes,Yes,
action,pes7,Binary,dummy,Took collective action with neighbors,"[In the past 12 months,] did [you/[NAME] get together with other people from [your/his/her] neighborhood to do something positive for [your/his/her] neighborhood or the community?",Yes,Yes,Yes,
dbtalk,pes8,Categorical,freq,Freq of talking with people from a different background,"[In the past 12 months,] how often did [you/NAME] talk to or spend time with people from a racial, ethnic, or cultural background that is different from [yours/his/hers]? This may have been in person, over the phone, or through the internet or social media.",Yes,No,No,
views,pes9,Categorical,freq,Freq of posting views online,"[In the past 12 months,] how often did [you/[NAME]] post [your/his/her] views about political, societal, or local issues on the internet or social media?",Yes,Yes,Yes,
yesviews,pes9,Binary,dummy,Posted views online [pes9!=Not at all],,Yes,Yes,Yes,
weeklyviews,pes9,Binary,dummy,Posted views online weekly [pes9=>A few times a week],,Yes,Yes,Yes,
news,pes10,Categorical,freq,Freq of news intake about issues,"[In the past 12 months,] how often did [you/[NAME]] read, watch or listen to news or information about political, societal, or local issues?",Yes,Yes,Yes,
yesnews,pes10,Binary,dummy,Consumed news about issues [pes10!=Not at all],,Yes,Yes,Yes,
dailynews,pes10,Binary,dummy,Consumed news about issues daily [pes10==Basically every day],,Yes,Yes,Yes,
weeklynews,pes10,Binary,dummy,Consumed news about issues weekly [pes10=>A few times a week],,Yes,Yes,Yes,
